"refinement_rank","paper_id","refined_status","refinement_score","priority","title","publication","year","category","collections","duplicate_group","pdf_path"
"27","P0029","completed_refined","222","112","Seller Organization and Percentage Fee Design in the Daily Deal Market","Information Systems Research","2022","博弈论/理论模型","Game Theory","DUP003","[local PDF path not bundled; paper_id=P0029]"
"28","P1022","completed_refined","222","121","Informing the Public About a Pandemic","Management Science","2021","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1022]"
"29","P1026","completed_refined","222","117","Information Sharing in Competing Supply Chains with Production Cost Reduction","Manufacturing & Service Operations Management","2017","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1026]"
"30","P0103","completed_refined","220","116","Provision of Incentives for Information Acquisition: Forecast-Based Contracts vs. Menus of Linear Contracts","Management Science","2016","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0103]"
"31","P0090","completed_refined","218","114","Tariff Hedging with a New Supplier? An Analysis of Sourcing Strategies Under Competition","Production and Operations Management","2024","博弈论/理论模型","Game Theory","DUP004","[local PDF path not bundled; paper_id=P0090]"
"32","P0104","completed_refined","218","119","On the Competition between Two Modes of Product Recovery: Remanufacturing and Refurbishing","Production and Operations Management","2019","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0104]"
"33","P0110","completed_refined","218","115","Coordinating Supply Chains with Simple Pricing Schemes: The Role of Vendor-Managed Inventories","Management Science","2006","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0110]"
"34","P0113","completed_refined","218","115","Quantifying the Value of Leadtime Information in a Single-Location Inventory System","Manufacturing & Service Operations Management","2005","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0113]"
"35","P0115","completed_refined","218","115","Salesforce Incentives, Market Information, and Production/Inventory Planning","Management Science","2005","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0115]"
"36","P0117","completed_refined","218","115","Coordination Mechanisms for a Distribution System with One Supplier and Multiple Retailers","Management Science","2001","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0117]"
"37","P0191","completed_refined","216","118","Pricing with Cookies: Behavior-Based Price Discrimination and Spatial Competition","Management Science","2018","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0191]"
"38","P0264","completed_refined","214","117","Entry of Copycats of Luxury Brands","Marketing Science","2017","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0264]"
"39","P0978","completed_refined","214","117","Competing with Copycats When Customers Are Strategic","Manufacturing & Service Operations Management","2017","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0978]"
"40","P0106","completed_refined","210","115","Auctioning Supply Contracts","Management Science","2007","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0106]"
"41","P0108","completed_refined","210","115","Managing Downstream Competition via Capacity Allocation","Production and Operations Management","2013","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0108]"
"42","P0062","completed_refined","203","105","Information Distortion in a Supply Chain: The Bullwhip Effect","Management Science","2004","博弈论/理论模型","Classic; Intensive Reading","","[local PDF path not bundled; paper_id=P0062]"
"43","P0069","completed_refined","203","105","Supply Chain Coordination with Revenue-Sharing Contracts: Strengths and Limitations","Management Science","2005","博弈论/理论模型","Classic; Intensive Reading","","[local PDF path not bundled; paper_id=P0069]"
"44","P1878","completed_refined","184","105","Platform disintermediation: information effects and pricing remedies","Operations Research","2026","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1878]"
"45","P1653","completed_refined","183","105","Vertical Competition on a Common Platform","Marketing Science","2025","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1653]"
"46","P1843","completed_refined","183","105","Platform disintermediation with repeated transactions","Management Science","2025","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1843]"
"47","P1903","completed_refined","183","105","Automated Targeted Bidding for Sponsored Ads on E-Commerce Platforms","Marketing Science","2025","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1903]"
"48","P0064","completed_refined","175","105","Decision Bias in the Newsvendor Problem with a Known Demand Distribution: Experimental Evidence","Management Science","2000","算法/优化/运筹模型","Classic; Intensive Reading","","[local PDF path not bundled; paper_id=P0064]"
"49","P1651","completed_refined","175","105","Privacy and Polarization: An Inference-Based Framework","Management Science","2025","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1651]"
"50","P1030","completed_refined","173","100","Platform's role in green vs. non-green product competition: Blockchain transparency and selling contract selection","International Journal of Production Economics","2025","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1030]"
"51","P1678","completed_refined","173","95","Data and Algorithms: Strategic Disclosure of Competitiveness on Platforms Through Marketplace Analytics","Marketing Science","2025","博弈论/理论模型","Group Discussion","DUP015","[local PDF path not bundled; paper_id=P1678]"
"52","P1668","completed_refined","170","100","The Power of Disagreement: A Field Experiment to Investigate Human–Algorithm Collaboration in Loan Evaluations","Management Science","2025","实证","Empirical","","[local PDF path not bundled; paper_id=P1668]"
"53","P0126","completed_refined","168","99","Improving Convenience or Saving Face? An Empirical Analysis of the Use of Facial Recognition Payment Technology in Retail","Information Systems Research","2024","实证","Empirical","","[local PDF path not bundled; paper_id=P0126]"
"54","P0266","completed_refined","167","105","The Illusion of Authenticity in Online Reviews: Truth Bias and the Role of Valence","Information Systems Research","2025","实证","Business Administration","","[local PDF path not bundled; paper_id=P0266]"
"55","P1551","completed_refined","165","100","保持神秘还是公开透明？奢侈品的质量披露策略研究","中国管理科学","2025","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1551]"
"56","P2031","completed_refined","164","85","Backfiring AI? AI deployment in workplace","Management Science","2026","博弈论/理论模型","Frontier","","[local PDF path not bundled; paper_id=P2031]"
"57","P0250","completed_refined","163","99","The Dark Side of Voluntary Data Sharing","MIS Quarterly","2024","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0250]"
"58","P1664","completed_refined","163","99","The Strategic Value of Data Sharing in Interdependent Markets","SSRN Electronic Journal","2024","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1664]"
"59","P1032","completed_refined","162","100","How Does Prepopulating Search Bars with Keywords Affect Online Consumer Behavior? A Field Experiment","Marketing Science","2025","实证","Empirical","","[local PDF path not bundled; paper_id=P1032]"
"60","P1616","completed_refined","161","102","Tax-Induced Inequalities in the Sharing Economy","Management Science","2022","实证","Group Discussion","","[local PDF path not bundled; paper_id=P1616]"
"61","P1898","completed_refined","159","103","Cold start to improve market thickness on online advertising platforms: data-driven algorithms and field experiments","Management Science","2023","混合方法","Group Discussion","","[local PDF path not bundled; paper_id=P1898]"
"62","P1039","completed_refined","158","108","Harvesting or Nurturing? Corporate Venture Capital and Startup Green Innovation","Academy of Management Proceedings","2023","实证","Business Administration; Graduation Thesis; Intensive Reading","","[local PDF path not bundled; paper_id=P1039]"
"63","P0671","completed_refined","156","97","Promoting Mobile Payment with Price Incentives","Management Science","2022","实证","Empirical","","[local PDF path not bundled; paper_id=P0671]"
"64","P1934","completed_refined","156","85","Quality verification in the presence of review bias","Production and Operations Management","2026","博弈论/理论模型","Mates","","[local PDF path not bundled; paper_id=P1934]"
"65","P2025","completed_refined","156","85","Dynamic Pricing and Product Quality with Review-Driven Learning","Production and Operations Management","2026","博弈论/理论模型","Frontier","","[local PDF path not bundled; paper_id=P2025]"
"66","P0098","completed_refined","153","90","Push or Pull Supply Chains when Members’ Overconfidence is Considered?","","","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0098]"
"67","P0118","skipped_duplicate","153","90","Game Theory and Information Economics","","","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0118]"
"68","P1726","skipped_duplicate","153","90","Platform Disintermediation: Information Effects and Pricing Remedies","","","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1726]"
"69","P0031","completed_refined","151","83","Managing Outpatient Service with Strategic Walk-ins","Management Science","2023","博弈论/理论模型","Model","","[local PDF path not bundled; paper_id=P0031]"
"70","P0007","completed_refined","149","82","Before It’s Too Late: Product Recall Delays and Policy Design","Manufacturing & Service Operations Management","2022","博弈论/理论模型","","","[local PDF path not bundled; paper_id=P0007]"
"71","P1557","completed_refined","149","92","碳交易背景下存在顾客环保偏好的双企业竞争策略研究","中国管理科学","2017","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P1557]"
"72","P0873","completed_refined","147","85","Leveraging Context: Re-Thinking Research Processes to Make “Contributions to Theory”","Information Systems Research","2025","实证","Classic","","[local PDF path not bundled; paper_id=P0873]"
"73","P1020","completed_refined","147","85","What Do We Know About the Science of Science in Business and Economics? Insights From the Top 50 Journals, 2008–2022","Production and Operations Management","2025","实证","Management Science","","[local PDF path not bundled; paper_id=P1020]"
"74","P1899","completed_refined","147","95","From Density to Destiny: Using Spatial Dimension of Sales Data for Early Prediction of New Product Success","Marketing Science","2004","实证","Group Discussion","","[local PDF path not bundled; paper_id=P1899]"
"75","P0132","completed_refined","145","90","The Behavioral Promise and Pitfalls in Compensating Store Managers","","","博弈论/理论模型","Game Theory","","[local PDF path not bundled; paper_id=P0132]"
"76","P0134","completed_refined","145","80","Product Sourcing and Distribution Strategies under Supply Disruption and Recall Risks","Production and Operations Management","2020","博弈论/理论模型","Model","","[local PDF path not bundled; paper_id=P0134]"
"77","P1649","completed_refined","145","95","Third-Party Software Development Kit Utilization and Mobile App Market Performance","Information Systems Research","2025","混合方法","Group Discussion","DUP014","[local PDF path not bundled; paper_id=P1649]"
"78","P2027","completed_refined","145","76","Behavior-Based Pricing: An Analysis of the Impact of Peer-Induced Fairness","Management Science","2016","博弈论/理论模型","BBP","","[local PDF path not bundled; paper_id=P2027]"
"79","P0052","completed_refined","143","75","Combined Pricing and Inventory Control under Uncertainty","Operations Research","1999","博弈论/理论模型","Classic","","[local PDF path not bundled; paper_id=P0052]"
"80","P1358","completed_refined","142","100","The Effect of Mergers in Search Markets: Evidence from the Canadian Mortgage Industry","The American Economic Review","2014","实证","IO; Intensive Reading","","[local PDF path not bundled; paper_id=P1358]"
"81","P0827","completed_refined","141","84","Online Advertisement Allocation Under Customer Choices and Algorithmic Fairness","Management Science","2024","算法/优化/运筹模型","Algorithm","","[local PDF path not bundled; paper_id=P0827]"
"82","P0957","completed_refined","140","105","Approximating purchase propensities and reservation prices from broad consumer tracking","International Economic Review","2020","混合方法","IO; Intensive Reading","","[local PDF path not bundled; paper_id=P0957]"
"83","P0950","completed_refined","138","80","Truthful disclosure of information","The Bell Journal of Economics","1982","博弈论/理论模型","Classic; Intensive Reading","","[local PDF path not bundled; paper_id=P0950]"
"84","P0128","completed_refined","137","82","On-Demand Meal Delivery Platforms: Operational Level Data and Research Opportunities","Manufacturing & Service Operations Management","2022","混合方法","Theory/Review","","[local PDF path not bundled; paper_id=P0128]"
"85","P0972","completed_refined","136","87","从双重差分法到事件研究法","产业经济评论","2022","实证","Economics; Intensive Reading","","[local PDF path not bundled; paper_id=P0972]"
"86","P1355","completed_refined","136","78","Distorted Innovation: Does the Market Get the Direction of Technology Right?","AEA Papers and Proceedings","2023","博弈论/理论模型","Economics; Intensive Reading","DUP012","[local PDF path not bundled; paper_id=P1355]"
"87","P0050","completed_refined","135","75","Optimal Dynamic Pricing of Inventories with Stochastic Demand over Finite Horizons","Management Science","1994","博弈论/理论模型","Classic","","[local PDF path not bundled; paper_id=P0050]"
"88","P0035","completed_refined","133","84","Treatment Planning for Victims with Heterogeneous Time Sensitivities in Mass Casualty Incidents","Operations Research","2024","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0035]"
"89","P0039","completed_refined","133","84","Design of Patient Visit Itineraries in Tandem Systems","Manufacturing & Service Operations Management","2024","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0039]"
"90","P0095","completed_refined","133","73","Trade networks and firm value: Evidence from the U.S.-China trade war","Journal of International Economics","2023","实证","Frontier","DUP005","[local PDF path not bundled; paper_id=P0095]"
"91","P0122","completed_refined","133","84","Feature-Based Inventory Control with Censored Demand","Manufacturing & Service Operations Management","2024","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0122]"
"92","P0139","completed_refined","131","83","Joint pricing and inventory management under minimax regret","Production and Operations Management","2023","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0139]"
"93","P1089","completed_refined","130","100","Search, Obfuscation, and Price Elasticities on the Internet","Econometrica","2009","混合方法","IO; Intensive Reading","","[local PDF path not bundled; paper_id=P1089]"
"94","P1377","completed_refined","130","100","Theories of Cartel Stability and the Joint Executive Committee","The RAND Journal of Economics","1994","混合方法","IO; Intensive Reading","","[local PDF path not bundled; paper_id=P1377]"
"95","P0101","completed_refined","127","81","Reflections on the Evolution of Operations Management","Management Science","2021","混合方法","","","[local PDF path not bundled; paper_id=P0101]"
"96","P0058","completed_refined","123","79","The Big Data Newsvendor: Practical Insights from Machine Learning","Operations Research","2019","混合方法","","","[local PDF path not bundled; paper_id=P0058]"
"97","P0071","skipped_duplicate","123","79","The Big Data Newsvendor: Practical Insights from Machine Learning","Operations Research","2019","混合方法","Classic","","[local PDF path not bundled; paper_id=P0071]"
"98","P0144","completed_refined","123","75","Inventory and Production Decisions for an Assemble-to-Order System with Uncertain Demand and Limited Assembly Capacity","Operations Research","2006","混合方法","Model","","[local PDF path not bundled; paper_id=P0144]"
"99","P1655","completed_refined","118","80","Regulating Digital Platform Ecosystems Through Data sharing and Data Siloing: Consequences for Innovation and Welfare","MIS Quarterly","2025","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1655]"
"100","P0037","completed_refined","115","75","Competitive Two-Agent Scheduling and Its Applications","Operations Research","2010","算法/优化/运筹模型","Model","","[local PDF path not bundled; paper_id=P0037]"
"101","P0043","completed_refined","115","75","The Price of Robustness","Operations Research","2004","混合方法","Classic","","[local PDF path not bundled; paper_id=P0043]"
"102","P1609","completed_refined","115","85","Faster Deliveries and Smarter Order Assignments for an On-Demand Meal Delivery Platform","Journal of Operations Management","2025","实证","Algorithm","","[local PDF path not bundled; paper_id=P1609]"
"103","P1459","completed_refined","114","78","Competition in Pricing Algorithms","American Economic Journal: Microeconomics","2023","博弈论/理论模型","IO","","[local PDF path not bundled; paper_id=P1459]"
"104","P1643","completed_refined","114","78","Price Caps by Matching Platforms: The Case of Ticket Resales","SSRN Electronic Journal","2023","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1643]"
"105","P0150","completed_refined","110","76","Deceptive signaling on globalized digital platforms: Institutional hypnosis and firm internationalization","Journal of International Business Studies","2021","博弈论/理论模型","Business Administration","","[local PDF path not bundled; paper_id=P0150]"
"106","P0314","completed_refined","108","79","企业供应链风险感知与合作关系稳定性","管理世界","2024","博弈论/理论模型","Business Administration","","[local PDF path not bundled; paper_id=P0314]"
"107","P1619","completed_refined","106","78","Examining the Impact of Generative AI on Users’ Voluntary Knowledge Contribution: Evidence from A Natural Experiment on Stack Overflow","SSRN Electronic Journal","2023","实证","Group Discussion","","[local PDF path not bundled; paper_id=P1619]"
"108","P1906","completed_refined","106","78","The effects of personal data management on competition and welfare","SSRN Electronic Journal","2023","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1906]"
"109","P1356","completed_refined","104","77","Intermediation and Competition in Search Markets: An Empirical Case Study","Journal of Political Economy","2022","博弈论/理论模型","IO","","[local PDF path not bundled; paper_id=P1356]"
"110","P1646","completed_refined","104","68","“Sherlocking” and Platform Information Policy","SSRN Electronic Journal","2023","博弈论/理论模型","Group Discussion","DUP011","[local PDF path not bundled; paper_id=P1646]"
"111","P1361","completed_refined","103","80","Growing bigger or becoming stronger: A response of downstream manufacturing firms to the coal price shock","International Journal of Industrial Organization","2026","实证","IO","","[local PDF path not bundled; paper_id=P1361]"
"112","P1657","completed_refined","103","80","CO2 emission regulation and generation allocation with heterogeneous coal-fired generators","Journal of Development Economics","2026","实证","IO","","[local PDF path not bundled; paper_id=P1657]"
"113","P0994","completed_refined","102","80","Venture capital exit after venture IPO","Strategic Entrepreneurship Journal","2025","实证","Business Administration","","[local PDF path not bundled; paper_id=P0994]"
"114","P1044","completed_refined","102","76","公司创业投资：文献述评与研究展望","管理世界","2021","博弈论/理论模型","Business Administration","","[local PDF path not bundled; paper_id=P1044]"
"115","P1922","completed_refined","99","60","Designing platform incentives for balancing content creation and advertising integration","IEEE Transactions on Engineering Management","2026","博弈论/理论模型","Mates","","[local PDF path not bundled; paper_id=P1922]"
"116","P0956","completed_refined","98","70","Consumer Information and Discrimination: Does the Internet Affect the Pricing of New Cars to Women and Minorities?","Quantitative Marketing and Economics","2003","博弈论/理论模型","IO","","[local PDF path not bundled; paper_id=P0956]"
"117","P1807","completed_refined","98","70","Strategic Disinformation Generation and Detection","","","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1807]"
"118","P1975","completed_refined","98","60","AI agents for economic research","","2025","博弈论/理论模型","Methods","","[local PDF path not bundled; paper_id=P1975]"
"119","P0145","completed_refined","94","76","Chief executive officer power and initial public offering underpricing: Examining the influence of demand‐side cultural power distance","Global Strategy Journal","2021","实证","Business Administration","","[local PDF path not bundled; paper_id=P0145]"
"120","P0152","completed_refined","94","76","Partnering with Leviathan: The politics of innovation in foreign-host-state joint ventures","Journal of International Business Studies","2021","实证","Business Administration","","[local PDF path not bundled; paper_id=P0152]"
"121","P0976","completed_refined","94","72","Competitive Bundling","Econometrica","2017","博弈论/理论模型","IO","","[local PDF path not bundled; paper_id=P0976]"
"122","P2006","completed_refined","94","58","Live-streaming selling modes on a retail platform","Transportation Research Part E: Logistics and Transportation Review","2023","博弈论/理论模型","Climate; Methods","","[local PDF path not bundled; paper_id=P2006]"
"123","P1925","completed_refined","91","60","When should sellers offer rebates for consumer reviews","Journal of Retailing and Consumer Services","2026","博弈论/理论模型","Mates","","[local PDF path not bundled; paper_id=P1925]"
"124","P1927","completed_refined","91","60","Content moderation and creator incentives mechanism amidst controversial content surges","Omega","2026","博弈论/理论模型","Mates","","[local PDF path not bundled; paper_id=P1927]"
"125","P1935","completed_refined","91","60","抢先还是等待？零售商引入新兴技术的时机与战略分析","中国管理科学","2026","博弈论/理论模型","Mates","","[local PDF path not bundled; paper_id=P1935]"
"126","P1962","completed_refined","91","60","Games on multiplex networks","SSRN Electronic Journal","2026","博弈论/理论模型","Frontier","","[local PDF path not bundled; paper_id=P1962]"
"127","P0260","skipped_scope","90","80","Angel funding and entrepreneurs' well-being: The mediating role of autonomy, competence, and relatedness","Journal of Business Venturing","2025","混合方法","Business Administration","","[local PDF path not bundled; paper_id=P0260]"
"128","P0313","completed_refined","90","70","产业链风险与中国企业自主创新突破","Biochemical and Biophysical Research Communications","1975","博弈论/理论模型","Business Administration; Graduation Thesis","","[local PDF path not bundled; paper_id=P0313]"
"129","P0960","completed_refined","90","70","What Drives Media Slant? Evidence From U.S. Daily Newspapers","Econometrica","2010","实证","IO","","[local PDF path not bundled; paper_id=P0960]"
"130","P0977","completed_refined","90","70","Competition and Collusion in the American Automobile Industry: The 1955 Price War","The Journal of Industrial Economics","1987","博弈论/理论模型","IO","","[local PDF path not bundled; paper_id=P0977]"
"131","P1877","completed_refined","90","70","Privacy Regulations, Consumer Empowerment, and Versioning","","","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1877]"
"132","P1910","completed_refined","90","70","Personalized pricing in the presence of privacy concerns","","","博弈论/理论模型","Group Discussion","","[local PDF path not bundled; paper_id=P1910]"
"133","P0156","completed_refined","88","73","Rapid expansion of international new ventures across institutional distance","Journal of International Business Studies","2018","实证","Business Administration","","[local PDF path not bundled; paper_id=P0156]"
"134","P1571","completed_refined","86","69","Algorithmic Pricing and Competition: Empirical Evidence from the German Retail Gasoline Market","Journal of Political Economy","2024","混合方法","Group Discussion","DUP013","[local PDF path not bundled; paper_id=P1571]"
"135","P1913","completed_refined","86","78","Optimizing electric carsharing system operations and battery management: integrating V2g, B2g and battery swapping strategies","","2023","算法/优化/运筹模型","Group Discussion","","[local PDF path not bundled; paper_id=P1913]"
"136","P0176","completed_refined","83","63","Automated Enforcement and Traffic Safety","SSRN Electronic Journal","2023","实证","Empirical","DUP007","[local PDF path not bundled; paper_id=P0176]"
"137","P0954","completed_refined","82","70","Are Durable Goods Consumers Forward-Looking - Evidence from College Textbooks","","","实证","IO","","[local PDF path not bundled; paper_id=P0954]"
"138","P1491","completed_refined","82","56","企业创新信号与政府风险投资——基于制度逻辑视角","管理学季刊","2021","博弈论/理论模型","Logic","","[local PDF path not bundled; paper_id=P1491]"
"139","P1564","completed_refined","82","70","Free Entry and Social Inefficiency in Radio Broadcasting","The RAND Journal of Economics","1999","实证","IO","","[local PDF path not bundled; paper_id=P1564]"
"140","P0148","completed_refined","80","75","Entrepreneurial ecosystems: what we know and where we move as we build an understanding of China","Entrepreneurship & Regional Development","2020","混合方法","Business Administration","","[local PDF path not bundled; paper_id=P0148]"
"141","P0154","completed_refined","80","75","Political Status and Tax Haven Investment of Emerging Market Firms: Evidence from China","Journal of Business Ethics","2020","混合方法","Business Administration","","[local PDF path not bundled; paper_id=P0154]"
"142","P1144","completed_refined","80","59","Organized Crime and Economic Growth: Evidence from Municipalities Infiltrated by the Mafia","American Economic Review","2024","实证","Economics","","[local PDF path not bundled; paper_id=P1144]"
"143","P1553","completed_refined","80","55","不对称信息下的供应链管理研究综述与展望","物流研究","2020","博弈论/理论模型","Theory/Review","","[local PDF path not bundled; paper_id=P1553]"
"144","P1994","completed_refined","80","59","The public cost of extreme climate: empirical evidence from China's urban investment bonds","Cities","2024","实证","Climate","","[local PDF path not bundled; paper_id=P1994]"
"145","P1999","completed_refined","80","59","Valuing high temperature's fiscal costs: evidence from China","Economic Analysis and Policy","2024","实证","Climate","","[local PDF path not bundled; paper_id=P1999]"
"146","P1043","completed_refined","78","74","CVC与IVC谁更能促进初创企业创新?","管理工程学报","2019","综述/概念","Business Administration","","[local PDF path not bundled; paper_id=P1043]"
"147","P2026","completed_refined","78","60","GENERATIVE AI IN EQUILIBRIUM: EVIDENCE FROM A CREATIVE GOODS MARKETPLACE","","2025","混合方法","Frontier","","[local PDF path not bundled; paper_id=P2026]"
"148","P0124","completed_refined","77","65","When Persuasion Is Too Persuasive: An Empirical Analysis of Product Returns in Livestream E-Commerce","","","实证","Empirical","","[local PDF path not bundled; paper_id=P0124]"
"149","P0305","completed_refined","77","65","Are Firms Voluntarily Disclosing Emissions Greener?","","","实证","Empirical","","[local PDF path not bundled; paper_id=P0305]"
